NOM_COMUNA;Apruebo;Rechazo;TasaBoric;TasaKast;GABRI_FONT;JOSE _RIST;Total_idos;Votos_ncos;Votos_ulos;Total_eral
CERRO NAVIA;81968;34748;0.703329919725149;0.298156651580721;42581;18051;60542;128;358;116544
PUDAHUEL;114389;52563;0.679197744406007;0.312103821312164;67932;31216;100018;214;648;168418
HUECHURABA;43301;28586;0.595156571001681;0.392911245304945;28680;18934;48189;162;495;72756
CONCHALÍ;79636;39479;0.664421084938234;0.329379268011970;43297;21464;65165;144;445;119859
EL BOSQUE;91014;47228;0.655142370599184;0.339960133592069;49629;25753;75753;135;501;138923
ESTACIÓN CENTRAL;83000;44964;0.651687164932198;0.353043204036582;41330;22390;63420;155;471;127362
PEDRO AGUIRRE CERDA;69206;25936;0.734909976387249;0.275420602125148;39838;14930;54208;118;393;94170
INDEPENDENCIA;49442;31375;0.606278694627125;0.384737560491376;24430;15503;40295;121;289;81550
LO ESPEJO;67008;24640;0.729238204247743;0.268154648353046;34404;12651;47178;119;295;91888
LA CISTERNA;50605;33061;0.605628785179907;0.395670487646430;28900;18881;47719;91;357;83559
LA PINTANA;101959;37853;0.730611767458182;0.271245174874254;49968;18551;68392;172;449;139554
LA FLORIDA;197987;107733;0.643354915746240;0.350077717273822;125000;68018;194294;445;1403;307743
LA GRANJA;73778;31226;0.703263184492654;0.297657293433924;38965;16492;55406;117;339;104909
MACUL;64784;36871;0.636867101090266;0.362470218842203;40364;22973;63379;202;475;101724
PEÑALOLÉN;125030;66552;0.650406292095772;0.346204319297788;74839;39836;115065;377;959;192235
LAS CONDES;69886;193733;0.260891460350651;0.723223620469760;47662;132125;182689;1230;2930;267875
LO BARNECHEA;16764;63015;0.206053061018489;0.774515906529163;12248;46038;59441;294;859;81361
LA REINA;45157;46390;0.492497157407556;0.505949425876399;30753;31593;62443;403;848;91690
ÑUÑOA;115706;78532;0.591949979327303;0.401768422274287;81608;55389;137863;593;1414;195466
RECOLETA;93906;48696;0.652575296643093;0.338403592640881;49552;25696;75933;206;683;143902
PROVIDENCIA;80613;86360;0.474878615157273;0.508732032164584;49489;53017;104214;705;1434;169757
CERRILLOS;43485;25035;0.640949634139828;0.369011376381990;24001;13818;37446;72;255;67845
MAIPÚ;258500;129435;0.663511129610910;0.332231273909338;167374;83807;252255;442;1670;389595
LO PRADO;61172;28137;0.681469797164756;0.313454266011446;33698;15500;49449;86;345;89765
VITACURA;14585;72726;0.164367923938200;0.819572152373804;10511;52410;63948;565;1287;88737
QUINTA NORMAL;67641;35674;0.659577533269705;0.347859754011273;36627;19317;55531;119;369;102553
PUENTE ALTO;279881;118240;0.701519487011532;0.296368917311637;162789;68773;232052;420;1539;398965
QUILICURA;93929;44262;0.679389764012148;0.320149368375028;57492;27092;84623;168;532;138256
RENCA;82936;34265;0.707839125291729;0.292448607692062;44281;18295;62558;140;398;117169
SAN BERNARDO;146449;80544;0.641562075771835;0.352849564007962;77033;42367;120071;225;774;228270
SAN JOAQUÍN;58871;23954;0.707767903815996;0.287987454260324;33849;13773;47825;95;323;83179
SAN MIGUEL;64406;39507;0.617324738114424;0.378678485092667;38305;23497;62050;389;422;104331
SAN RAMÓN;56983;24921;0.691884425002878;0.302590077126741;30052;13143;43435;122;282;82360
SANTIAGO;205090;132622;0.608057324840764;0.393203821656051;95465;61733;157000;507;1061;337288
;3149067;1948863;;;;;;;;
