NOM_COMUNA;GABRI_FONT;JOSE _RIST;Total_eral;VOTOS_ANCO;VOTOS_ULOS
CERRO NAVIA;42576;18051;61113;128;358
PUDAHUEL;67932;31217;100011;214;648
HUECHURABA;28680;18931;48268;162;495
CONCHALÍ;43294;21464;65348;145;445
EL BOSQUE;49558;25753;75947;135;501
ESTACIÓN CENTRAL;41330;22393;64349;155;471
PEDRO AGUIRRE CERDA;39781;14930;55222;118;393
INDEPENDENCIA;24430;15505;40345;121;289
LO ESPEJO;34532;12695;47637;115;295
LA CISTERNA;28899;18881;48228;92;356
LA PINTANA;50071;18588;69281;172;450
LA FLORIDA;124995;68024;194868;444;1405
LA GRANJA;38966;16491;55913;117;339
MACUL;40364;22975;64016;201;476
PEÑALOLÉN;74757;39836;115888;377;918
LAS CONDES;47733;132330;184227;1230;2934
LO BARNECHEA;12248;46038;59439;294;859
LA REINA;30753;31593;63597;407;844
ÑUÑOA;81608;55389;139003;592;1414
RECOLETA;49686;25705;76087;207;489
PROVIDENCIA;49483;53071;104693;704;1435
CERRILLOS;24001;13818;38146;71;256
MAIPÚ;167384;83812;253308;442;1670
LO PRADO;33698;15500;49629;86;345
VITACURA;10511;52410;64773;565;1287
QUINTA NORMAL;36627;19317;56432;119;369
PUENTE ALTO;162880;68819;233660;419;1542
QUILICURA;57492;27092;85284;168;532
RENCA;44396;18354;63291;141;400
SAN BERNARDO;77034;42372;120405;226;773
SAN JOAQUÍN;33849;13773;48040;95;323
SAN MIGUEL;38479;23570;62622;147;426
SAN RAMÓN;30052;13145;43601;121;283
SANTIAGO;95375;61733;158676;507;1061
